project_type,area_hectares,duration_years,baseline_emissions,expected_emission_reduction,location,emission_factor,carbon_credits_generated
green_building,19.76,13,1097,108,Meghalaya,1.27,760.73
green_building,40.17,29,479,94,Jammu and Kashmir,2.32,751.68
wetland_restoration,50.78,10,942,635,Chhattisgarh,2.48,2036.08
wetland_restoration,196.59,10,1089,874,Chhattisgarh,1.37,898.72
carbon_sequestration,456.12,28,930,996,West Bengal,1.44,884.16
biochar_production,369.35,25,1433,152,Goa,2.37,2512.2
geothermal_energy,349.96,26,1207,477,Assam,2.23,2263.45
reforestation,412.99,29,510,400,Tripura,1.72,399.04
biochar_production,223.85,15,977,708,Karnataka,1.4,1108.8
solar_power,318.33,18,710,273,Chandigarh,1.89,1003.59
wetland_restoration,444.49,14,1254,153,Puducherry,0.62,694.4
geothermal_energy,58.32,9,1777,1232,Uttar Pradesh,1.24,1858.76
reforestation,236.54,16,1042,61,Jammu and Kashmir,0.57,322.05
carbon_sequestration,24.97,13,1321,1262,Gujarat,1.12,1124.48
geothermal_energy,32.14,29,1081,909,West Bengal,2.06,1781.9
afforestation,405.96,13,1340,300,Nagaland,1.73,1629.66
sustainable_agriculture,476.08,25,1500,1340,Maharashtra,1.45,1863.25
methane_capture,499.21,22,1493,1150,Tamil Nadu,1.85,1875.9
carbon_sequestration,194.89,25,592,423,Goa,2.02,943.34
geothermal_energy,349.81,10,836,72,Andaman and Nicobar Islands,0.55,260.7
biochar_production,345.45,17,1412,321,Kerala,2.47,2637.96
wetland_restoration,312.98,29,921,290,Uttarakhand,2.26,1125.48
wetland_restoration,345.75,16,957,88,Ladakh,1.77,1155.81
solar_power,127.72,23,566,404,Uttarakhand,1.18,529.82
afforestation,249.46,18,1742,1422,Tamil Nadu,1.15,1501.9
green_building,135.54,21,1284,930,Punjab,0.7,670.6
electric_mobility,436.62,18,1692,1025,Uttar Pradesh,1.96,2877.28
biochar_production,40.19,16,987,757,Madhya Pradesh,2.02,1462.48
carbon_sequestration,211.73,14,1687,1179,Delhi,1.82,2426.06
reforestation,491.46,21,757,732,Chhattisgarh,1.75,1095.5
solar_power,109.66,5,1161,406,Tripura,1.9,1497.2
reforestation,409.04,8,758,114,Andaman and Nicobar Islands,2.36,1057.28
methane_capture,412.34,19,1396,437,Tripura,1.33,1581.37
biochar_production,355.55,6,494,989,Punjab,1.22,368.44
geothermal_energy,472.37,29,1062,463,Nagaland,1.37,869.95
carbon_sequestration,299.1,20,1234,170,Andaman and Nicobar Islands,0.84,928.2
afforestation,324.43,27,1031,281,Goa,0.73,489.83
biochar_production,38.87,26,958,582,Rajasthan,1.08,592.92
solar_power,433.7,28,745,645,Bihar,1.79,796.55
solar_power,59.11,23,1016,116,Mizoram,0.73,632.91
green_building,90.05,15,456,171,Tripura,1.41,404.67
geothermal_energy,292.06,9,1022,632,Rajasthan,0.73,405.15
wetland_restoration,360.16,7,1349,144,Nagaland,1.34,1526.26
sustainable_agriculture,393.73,16,1435,180,Ladakh,1.85,1764.9
reforestation,303.46,19,826,98,Andaman and Nicobar Islands,1,340
wetland_restoration,429.19,8,1334,317,Nagaland,2.18,2469.94
geothermal_energy,28.07,21,1374,163,Andaman and Nicobar Islands,2.04,2131.8
afforestation,308.21,24,1486,1139,Maharashtra,1.95,2380.95
afforestation,392.18,15,1045,119,Chandigarh,0.93,623.1
reforestation,197.37,6,1349,1089,Punjab,1.91,2282.45
geothermal_energy,392.49,14,1064,1077,West Bengal,0.55,518.1
green_building,133.48,10,1238,175,Assam,2.43,2114.1
afforestation,399.29,13,713,160,Jammu and Kashmir,1.83,818.01
wind_energy,431.73,29,969,293,Himachal Pradesh,0.79,372.88
wetland_restoration,325.63,26,1069,647,Jharkhand,1.24,932.48
green_building,199.66,18,839,461,Arunachal Pradesh,1.15,768.2
carbon_sequestration,181,16,1598,1348,Uttar Pradesh,1.69,2139.54
wind_energy,158.51,22,584,199,Goa,2.27,642.41
carbon_sequestration,144.52,24,1221,1259,Gujarat,1.89,2016.63
green_building,230.46,13,644,514,Bihar,1.63,860.64
biochar_production,43.93,6,1456,1368,Delhi,2,2248
solar_power,213.19,11,1083,420,Sikkim,2.29,1774.75
solar_power,293.01,16,1228,786,Andhra Pradesh,0.88,845.68
afforestation,40.86,23,1520,1481,Uttar Pradesh,0.6,681
wind_energy,446.04,12,1285,834,Chhattisgarh,2.2,2162.6
carbon_sequestration,375.69,28,1412,181,Puducherry,2,2020
afforestation,475.4,8,1377,895,Chhattisgarh,2.39,2770.01
wind_energy,11.74,15,1594,104,Tripura,1.77,2019.57
electric_mobility,121.69,19,863,1143,Punjab,1.21,692.12
wind_energy,345.07,10,912,682,Bihar,0.93,740.28
green_building,147.37,28,978,112,Andaman and Nicobar Islands,1.21,728.42
wind_energy,306.25,7,1470,265,Arunachal Pradesh,0.55,607.75
methane_capture,113.66,14,745,105,Jammu and Kashmir,1.44,583.2
wind_energy,450.32,5,1369,321,Arunachal Pradesh,0.71,778.87
green_building,270.53,21,1492,1062,Gujarat,0.92,1207.96
geothermal_energy,328.23,20,1198,472,Nagaland,1.66,1739.68
carbon_sequestration,88.53,26,1428,295,Mizoram,0.66,676.5
green_building,281.93,26,731,129,Meghalaya,0.52,241.8
wetland_restoration,477.25,22,1373,899,Karnataka,2.05,2021.3
biochar_production,479.74,12,766,811,Madhya Pradesh,1.94,1278.46
carbon_sequestration,472.35,16,1377,888,Chhattisgarh,0.67,603.67
solar_power,79.47,14,1187,344,Tripura,1.35,1066.5
methane_capture,470.3,23,1888,1464,Maharashtra,1.41,1995.15
green_building,71.27,6,1469,614,Madhya Pradesh,2.06,2066.18
biochar_production,84.49,17,892,248,Chandigarh,0.61,470.31
wind_energy,326.56,14,931,212,Sikkim,1.35,1040.85
wetland_restoration,251.55,16,1418,1249,Maharashtra,2.21,2848.69
reforestation,195.55,18,498,416,Goa,1.5,448.5
wind_energy,413.48,9,1483,845,Bihar,0.59,620.09
wetland_restoration,151.76,29,1180,129,Uttarakhand,0.6,478.8
reforestation,387.04,29,907,520,Chhattisgarh,1.73,1211
green_building,292.41,6,1142,255,Ladakh,1.27,1028.7
methane_capture,474.75,12,1435,460,Chhattisgarh,1.76,2104.96
green_building,371.19,26,1231,894,Dadra and Nagar Haveli and Daman and Diu,0.89,749.38
sustainable_agriculture,92.11,7,775,201,Goa,1.66,464.8
sustainable_agriculture,238.99,16,1075,697,Chhattisgarh,1.6,1259.2
carbon_sequestration,112.47,9,1045,74,Puducherry,1.55,1314.4
afforestation,29.87,19,495,214,Mizoram,2.25,515.25
sustainable_agriculture,74.19,5,952,889,Telangana,2.03,1222.06
geothermal_energy,377.29,25,1421,248,Mizoram,0.79,859.52
electric_mobility,493.44,28,1501,1232,Maharashtra,1.32,1638.12
green_building,38.67,14,1017,1188,Telangana,2.4,1716
reforestation,182.34,20,1724,1128,Tamil Nadu,2.43,3627.99
wetland_restoration,68.7,9,709,135,Himachal Pradesh,2.17,683.55
reforestation,247.61,13,915,196,Uttarakhand,1.45,655.4
solar_power,249.69,6,637,167,Puducherry,2.3,499.1
green_building,126.31,27,637,950,Odisha,1.06,502.44
wetland_restoration,319.48,19,824,626,Chhattisgarh,2.25,1093.5
green_building,183.92,23,1289,353,Nagaland,1.95,2209.35
electric_mobility,462.29,22,574,1020,West Bengal,1.36,633.76
solar_power,49.21,16,1315,939,Odisha,2.35,2523.9
biochar_production,400.7,12,508,914,Punjab,1.32,411.84
solar_power,70.59,29,1260,794,Telangana,0.92,853.76
reforestation,447.03,14,1289,1262,Uttar Pradesh,2.49,2751.45
sustainable_agriculture,353.03,17,917,1184,Odisha,1.78,1030.62
methane_capture,39.64,6,653,682,Bihar,2.27,624.25
wetland_restoration,86.88,5,1870,1363,Tamil Nadu,2.06,3087.94
wind_energy,161.71,24,573,433,Kerala,2.21,674.05
solar_power,232.43,21,956,303,Sikkim,1.11,537.24
carbon_sequestration,123.36,28,1081,985,Karnataka,1.2,966
geothermal_energy,31.39,26,956,130,Sikkim,1.71,1077.3
electric_mobility,487.22,8,1142,224,Mizoram,2.01,1549.71
reforestation,206.13,27,1496,1058,Punjab,0.9,1033.2
solar_power,342.9,15,1353,680,Dadra and Nagar Haveli and Daman and Diu,1.54,1382.92
wetland_restoration,316.16,23,813,854,Bihar,0.69,302.91
wetland_restoration,204.6,26,836,260,Jammu and Kashmir,2.36,1687.4
carbon_sequestration,207.81,13,1003,327,Himachal Pradesh,1.51,986.03
green_building,34.5,22,1434,1135,Uttar Pradesh,2.15,2322
biochar_production,319.59,17,1818,1247,Tamil Nadu,1.42,2101.6
reforestation,442.42,21,698,779,Bihar,0.87,468.06
carbon_sequestration,250.86,21,1069,418,Dadra and Nagar Haveli and Daman and Diu,1.75,1678.25
solar_power,332.92,24,1137,1147,Karnataka,2.29,1822.84
sustainable_agriculture,156.21,8,1076,786,Jharkhand,1.31,1241.88
geothermal_energy,486.47,25,784,891,Andhra Pradesh,0.94,320.54
biochar_production,194.53,11,1500,205,Chandigarh,1.99,2250.69
green_building,177.68,5,1570,462,Assam,2.36,2600.72
geothermal_energy,370.26,23,1108,794,Punjab,2.44,2440
reforestation,477.36,5,1380,966,Punjab,2.11,2428.61
reforestation,179.84,11,1634,1120,Uttar Pradesh,1.15,1483.5
sustainable_agriculture,39.33,8,1072,170,Chandigarh,1.74,1184.94
sustainable_agriculture,350.16,22,714,400,Nagaland,0.54,173.34
carbon_sequestration,105.2,6,1656,905,Odisha,2.33,2709.79
methane_capture,313.76,15,1404,70,Andaman and Nicobar Islands,1.81,1659.77
biochar_production,67.89,14,898,86,Lakshadweep,2.5,1557.5
sustainable_agriculture,117.45,23,936,374,Manipur,1.09,718.31
sustainable_agriculture,265.46,15,987,963,Odisha,0.83,467.29
wetland_restoration,465.73,26,644,213,Manipur,1.23,661.74
methane_capture,233.2,9,449,663,Chhattisgarh,1.31,322.26
methane_capture,71.57,22,944,1010,Punjab,0.93,565.44
solar_power,227.98,21,797,123,Puducherry,1.26,389.34
methane_capture,206.66,14,1149,202,Goa,1.47,1475.88
wetland_restoration,120.44,9,592,325,Tripura,2.31,954.03
solar_power,84.84,27,611,885,Karnataka,1.93,636.9
green_building,359.2,7,830,412,Bihar,1.43,869.44
green_building,47.31,29,1534,476,Assam,1.5,1585.5
reforestation,258.13,25,956,168,Puducherry,1.28,738.56
electric_mobility,307.7,13,415,216,Sikkim,1.7,419.9
solar_power,207,12,829,933,Karnataka,1.47,792.33
sustainable_agriculture,392.76,21,1039,982,Odisha,1.37,1215.19
carbon_sequestration,157.19,28,504,975,Haryana,0.55,163.9
electric_mobility,44.47,11,1292,916,West Bengal,1.2,1323.6
methane_capture,358.06,12,1412,284,Puducherry,1.84,2031.36
electric_mobility,497.51,10,1380,1038,Uttar Pradesh,2.46,2730.6
wind_energy,109.14,23,614,135,Assam,2.37,1016.73
reforestation,301.91,18,794,77,Chandigarh,0.84,497.28
wetland_restoration,122.89,28,883,330,Meghalaya,2.03,844.48
solar_power,186.22,13,1413,267,Sikkim,1.55,1458.55
wetland_restoration,5.84,8,1851,1180,Maharashtra,2.38,3408.16
carbon_sequestration,408.96,18,1353,374,Mizoram,0.89,901.57
green_building,335.13,21,637,521,Bihar,2.08,711.36
electric_mobility,489.15,7,1281,1323,Uttar Pradesh,1.23,1436.64
wind_energy,357.9,23,1248,532,Andhra Pradesh,1.52,1369.52
afforestation,283.09,22,391,152,Chandigarh,1.16,308.56
carbon_sequestration,100.76,6,1003,215,Uttarakhand,2.45,1447.95
geothermal_energy,183.71,21,1563,1309,Tamil Nadu,2.21,3149.25
geothermal_energy,191.97,27,992,400,Himachal Pradesh,2.04,1189.32
reforestation,38.53,23,1109,106,Assam,0.79,714.95
sustainable_agriculture,126.89,13,1046,364,Arunachal Pradesh,2.16,1738.8
methane_capture,458.22,14,1106,1046,Telangana,2.46,2349.3
wind_energy,227.64,6,1775,1498,Tamil Nadu,1.57,2095.95
wetland_restoration,171.56,17,1089,997,Haryana,0.85,759.9
wind_energy,13.68,26,1416,1398,Maharashtra,1.53,1915.56
wetland_restoration,248.89,5,1233,255,Assam,1.08,832.68
reforestation,102.6,12,1071,272,Arunachal Pradesh,1.65,1590.6
electric_mobility,46.59,10,785,178,Mizoram,1.33,680.96
geothermal_energy,60.58,6,933,754,West Bengal,0.93,510.57
afforestation,154.05,9,1373,1097,Uttar Pradesh,1.29,1389.33
afforestation,172.59,5,1400,357,Himachal Pradesh,1.99,1978.06
solar_power,394.44,7,1183,231,Nagaland,1.79,1397.99
reforestation,296.76,13,484,876,Rajasthan,0.81,170.1
wetland_restoration,46.77,21,1175,921,Odisha,2.15,1926.4
reforestation,448.28,10,876,497,Madhya Pradesh,2.5,1405
reforestation,53.06,25,593,562,Jharkhand,1.29,281.22
wind_energy,220.47,27,1113,845,Punjab,2.06,1600.62
afforestation,306.56,6,1561,1025,Delhi,2.1,2883.3
biochar_production,463.66,15,902,414,Nagaland,2.3,1313.3
carbon_sequestration,85.98,8,819,714,Dadra and Nagar Haveli and Daman and Diu,1.99,819.88
solar_power,93.24,13,724,565,Bihar,1.08,565.92
green_building,224.56,12,1122,167,Chandigarh,1.17,844.74
biochar_production,77.34,17,1532,403,Tripura,1.9,2177.4
reforestation,104.16,15,1631,1040,Gujarat,1.34,1858.58
biochar_production,219.27,18,1236,750,West Bengal,1.29,1184.22
solar_power,416.37,11,892,262,Jammu and Kashmir,1.48,997.52
sustainable_agriculture,181.58,23,1505,1122,Telangana,2.1,2354.1
reforestation,371.39,12,556,76,Puducherry,2.26,842.98
electric_mobility,22.37,12,1583,289,Andaman and Nicobar Islands,1.1,1225.4
reforestation,205.69,19,477,524,Chhattisgarh,1.82,520.52
reforestation,8.07,17,1643,1341,Tamil Nadu,0.91,1269.45
geothermal_energy,196.78,8,1408,1017,Gujarat,2.04,2311.32
wetland_restoration,449.38,15,1382,120,Assam,0.63,684.81
solar_power,180.91,14,1501,447,Kerala,0.56,626.64
solar_power,328.88,20,531,174,Ladakh,0.74,167.24
afforestation,436.38,9,1608,1087,Gujarat,2.31,2938.32
wetland_restoration,238.25,18,755,401,Goa,1.57,640.56
wind_energy,327.75,20,1218,176,Uttarakhand,0.7,599.2
biochar_production,487.74,22,682,249,Uttarakhand,2.01,679.38
carbon_sequestration,77.43,14,1474,1063,Uttar Pradesh,1.06,1358.92
reforestation,23.84,5,1204,497,Goa,2.09,2184.05
sustainable_agriculture,188.36,12,1061,1028,Telangana,0.98,917.28
wetland_restoration,481.54,28,741,595,Rajasthan,1.15,578.45
wetland_restoration,286.96,27,1160,239,Nagaland,2.46,2189.4
wetland_restoration,357.12,14,1348,731,West Bengal,1.99,2364.12
wetland_restoration,340.98,14,1517,917,Odisha,2.39,2703.09
afforestation,271.12,18,1409,1412,Delhi,0.61,775.31
green_building,81.64,8,390,1140,Odisha,1.16,259.84
green_building,395.38,26,1788,1237,Maharashtra,1.9,2451
wind_energy,425.32,14,1564,1364,Delhi,2.28,2601.48
electric_mobility,292.56,10,625,514,Dadra and Nagar Haveli and Daman and Diu,1.16,457.04
reforestation,4.87,21,586,425,Rajasthan,1.59,618.51
reforestation,302.49,12,1485,89,Chandigarh,2.47,2450.24
carbon_sequestration,376.58,17,676,139,Puducherry,1.87,759.22
green_building,332.88,7,1237,426,Meghalaya,2.07,2094.84
wind_energy,360.27,23,684,298,Tripura,2.17,1102.36
reforestation,125.45,10,1348,727,Dadra and Nagar Haveli and Daman and Diu,1.09,955.93
biochar_production,65.16,15,481,554,Bihar,1.61,373.52
wind_energy,228.19,15,1654,1498,Tamil Nadu,1.54,1855.7
wetland_restoration,52.25,12,1424,215,Manipur,2.35,2634.35
reforestation,188.07,12,1168,101,Jammu and Kashmir,1.45,1284.7
sustainable_agriculture,370.34,17,1249,841,Madhya Pradesh,0.65,657.15
reforestation,360.2,18,1428,1481,Gujarat,1.99,2151.19
carbon_sequestration,16.55,8,1245,299,Kerala,0.78,697.32
wind_energy,328.42,22,766,181,Ladakh,0.88,501.6
biochar_production,436.33,28,770,134,Arunachal Pradesh,0.55,355.3
geothermal_energy,181.38,8,646,772,West Bengal,1.69,806.13
reforestation,167.21,6,689,244,Himachal Pradesh,0.76,170.24
reforestation,445.68,29,923,1015,Haryana,0.74,388.5
electric_mobility,213.3,5,1327,61,Andaman and Nicobar Islands,1.03,1138.15
electric_mobility,334.95,16,717,113,Arunachal Pradesh,2.44,1244.4
geothermal_energy,355.56,23,1379,1000,Tamil Nadu,1.09,1166.3
wind_energy,76.03,29,935,294,Arunachal Pradesh,1.1,587.4
afforestation,259.81,9,848,150,Sikkim,2.42,905.08
solar_power,201.81,6,991,889,Rajasthan,1.62,925.02
methane_capture,33.67,13,859,238,Jammu and Kashmir,2.46,1444.02
carbon_sequestration,194.91,6,1369,400,Rajasthan,1.16,1038.2
reforestation,409.29,6,929,271,Goa,0.55,285.45
methane_capture,119.42,6,846,283,Tripura,0.52,239.2
methane_capture,58.03,9,1405,1012,Telangana,1.05,1212.75
electric_mobility,286.55,12,1087,715,Odisha,0.93,633.33
biochar_production,391.38,21,1226,332,Sikkim,0.79,667.55
biochar_production,90.2,16,1168,138,Uttarakhand,1.27,1004.57
wind_energy,5.71,20,415,729,Madhya Pradesh,1.43,296.01
afforestation,199.83,23,1529,1096,Uttar Pradesh,1.21,1409.65
electric_mobility,260.5,23,1426,1157,Odisha,0.55,650.65
wetland_restoration,491.17,5,1004,1045,Odisha,0.74,535.76
afforestation,119.36,19,1411,489,Rajasthan,2.42,2465.98
solar_power,280.22,24,893,994,Karnataka,0.87,342.78
biochar_production,18.06,20,795,304,Himachal Pradesh,0.53,179.67
afforestation,440.25,19,869,181,Lakshadweep,1.19,869.89
geothermal_energy,268.98,14,1346,152,Uttarakhand,2.15,1894.15
reforestation,461.33,10,708,201,Goa,1.21,309.76
green_building,108.79,22,1354,462,Manipur,2.17,2332.75
carbon_sequestration,412.82,10,1388,1447,Tamil Nadu,1.82,2302.3
electric_mobility,149.34,27,1041,204,Ladakh,0.8,504.8
solar_power,17.27,5,1028,404,Jharkhand,1.49,1351.43
geothermal_energy,255.55,27,1585,857,Jharkhand,1.35,1540.35
biochar_production,54.01,28,1589,1165,Delhi,0.55,784.85
electric_mobility,276.2,25,1185,106,Arunachal Pradesh,2.3,2074.6
afforestation,151.96,10,534,869,Madhya Pradesh,1.69,346.45
afforestation,452.92,19,786,866,Madhya Pradesh,1.31,533.17
afforestation,73.27,26,683,884,Rajasthan,0.53,219.42
green_building,11.48,12,1585,219,Chandigarh,0.84,956.76
geothermal_energy,48.29,25,980,194,Jammu and Kashmir,1.38,981.18
geothermal_energy,264.26,29,736,104,Puducherry,1.77,723.93
wind_energy,465.24,24,1306,260,Lakshadweep,1.42,1529.34
solar_power,309.38,19,1218,243,Manipur,1.22,1223.66
carbon_sequestration,313.17,7,866,137,Andaman and Nicobar Islands,2.39,1727.97
green_building,78.82,29,766,205,Arunachal Pradesh,1.86,1030.44
electric_mobility,419.54,20,1302,301,Meghalaya,1.03,1124.76
solar_power,33.85,17,1353,1406,Gujarat,0.57,595.65
electric_mobility,140.91,17,1646,644,Bihar,1.15,1376.55
geothermal_energy,482.92,10,809,124,Lakshadweep,0.76,503.88
geothermal_energy,41.7,23,1218,546,Madhya Pradesh,2.17,2413.04
electric_mobility,212.97,8,1573,1127,Maharashtra,1.5,2067
afforestation,335.9,9,1254,731,Bihar,1.6,1416
wetland_restoration,208.88,22,1431,777,Dadra and Nagar Haveli and Daman and Diu,1.91,1820.23
electric_mobility,465.73,19,357,193,Lakshadweep,2.2,506
wind_energy,220.97,12,1210,159,Jammu and Kashmir,0.86,772.28
wind_energy,155.58,14,1312,220,Himachal Pradesh,0.79,649.38
carbon_sequestration,21.68,10,328,187,Uttarakhand,1.09,229.99
wetland_restoration,217.39,24,829,775,Jharkhand,1.72,739.6
wetland_restoration,205.11,7,1414,1273,Gujarat,2.16,2337.12
biochar_production,426.51,6,906,394,Mizoram,0.96,716.16
geothermal_energy,272.18,9,670,187,Uttarakhand,2.15,857.85
methane_capture,494.39,28,1446,201,Arunachal Pradesh,1.28,1369.6
afforestation,385.5,10,751,105,Kerala,1.98,742.5
green_building,354.86,27,832,469,Nagaland,2.24,1032.64
geothermal_energy,339.86,15,1501,1263,Delhi,0.57,706.8
biochar_production,300.57,27,1116,225,Puducherry,0.5,489
geothermal_energy,283.21,23,547,705,West Bengal,1.74,551.58
sustainable_agriculture,41.84,16,1096,287,Arunachal Pradesh,2.36,1994.2
solar_power,496.43,26,1620,1136,Delhi,2.26,2693.92
methane_capture,164.13,9,1550,171,Goa,1.97,2330.51
carbon_sequestration,275.92,27,1150,1079,Karnataka,1.27,1153.16
reforestation,293.81,25,665,843,Rajasthan,1.99,947.24
sustainable_agriculture,34.57,28,595,136,Lakshadweep,1.07,408.74
carbon_sequestration,235.16,7,817,467,Kerala,1.08,477.36
methane_capture,127.04,12,798,161,Puducherry,2,1386
geothermal_energy,455.7,22,1381,308,Manipur,1.62,1859.76
sustainable_agriculture,66.2,19,1253,162,Mizoram,1.94,1497.68
carbon_sequestration,140.23,26,1304,856,Bihar,2.36,2024.88
carbon_sequestration,275.74,13,1381,685,Madhya Pradesh,0.9,796.5
electric_mobility,488.99,23,887,435,Jharkhand,1.39,606.04
wind_energy,123.99,28,1292,282,Lakshadweep,0.52,522.08
biochar_production,488.06,21,839,885,Madhya Pradesh,1.91,1054.32
solar_power,280.62,21,1392,1234,Gujarat,1.16,1344.44
solar_power,207.47,29,1620,1276,Uttar Pradesh,1.97,2429.01
electric_mobility,333.8,6,623,727,Odisha,2.15,746.05
electric_mobility,259.07,16,1026,733,Dadra and Nagar Haveli and Daman and Diu,0.56,297.36
green_building,370.61,21,475,796,Chhattisgarh,1.32,299.64
sustainable_agriculture,62.25,15,787,348,Uttarakhand,1.34,479.72
green_building,198.28,17,707,789,Rajasthan,2.35,1175
electric_mobility,363.91,15,651,578,Chhattisgarh,1.3,703.3
wind_energy,279.48,17,1420,822,Telangana,1.31,1345.37
electric_mobility,183.97,15,1328,232,Uttarakhand,2.3,2189.6
solar_power,122.82,5,1254,760,Haryana,0.9,992.7
green_building,240.55,23,1625,1283,Uttar Pradesh,1.13,1682.57
electric_mobility,119.69,24,924,294,Ladakh,2.48,1644.24
green_building,450.87,23,661,475,Meghalaya,1.25,460
sustainable_agriculture,145.74,18,1298,618,Rajasthan,0.82,658.46
wind_energy,487.08,28,951,478,Arunachal Pradesh,2.46,1180.8
geothermal_energy,122.07,21,1121,383,Kerala,0.98,927.08
wind_energy,165.52,14,1705,1494,Delhi,0.55,737
wind_energy,39.88,23,1122,978,Haryana,0.81,594.54
wetland_restoration,230.15,9,1462,548,Dadra and Nagar Haveli and Daman and Diu,1.31,1327.03
methane_capture,259.33,27,769,456,Kerala,1.83,530.7
sustainable_agriculture,99.4,9,1477,858,Telangana,2.16,2129.76
wetland_restoration,133.6,13,867,1199,Odisha,0.82,341.94
reforestation,496.52,17,1431,830,Chhattisgarh,0.82,938.9
solar_power,176.8,22,1542,1203,Tamil Nadu,2.09,2953.17
sustainable_agriculture,60.26,15,1043,1005,Punjab,1.3,835.9
green_building,122.71,7,1728,1253,Tamil Nadu,1.91,2580.41
solar_power,185.85,22,1364,509,Chhattisgarh,2.43,2512.62
solar_power,55.52,12,1566,458,Goa,0.9,1026.9
afforestation,164.99,25,1288,836,Punjab,1.61,1477.98
solar_power,355.75,13,568,489,Himachal Pradesh,2.11,647.77
green_building,16.53,22,700,1171,West Bengal,0.74,442.52
electric_mobility,352.49,7,632,189,Goa,1.77,932.79
